TitleCN,TitleEN,SongID
你怎沒有傷痕,HAST THOU NO SCAR?,H399
當讚美聖父,PRAISE YE THE FATHER,H4
父啊﹐兒女稱頌祢名,"FATHER, THY NAME OUR SOULS WOULD BLESS",H40
葡萄一生的事,THE STORY OF A GRAPEVINE,H400
領我，領我去加畧,"LEAD, LEAD ME TO CALVARY",H401
主，我今背十架,"LORD, HERE I TAKE MY CROSS",H402
聯於基督,NULL,H403
與祢合一,ONE WITH THEE,H404
充滿我心境,FILL ALL MY VISION,H405
我主，祢說祢是真樹,THOU HAST SAID THOU ART THE VINE,H406
祂為我死,HE DIED FOR ME,H407
時時刻刻,MOMENT BY MOMENT,H408
祢是我異象,BE THOU MY VISION,H409
父前拜禮,"FATHER, TO THEE A JOYFUL SONG WE RAISE",H41
不再是我,NO LONGER I,H410
耶穌﹐我今歡然安息,"JESUS, I AM RESTING, RESTING",H411
求主啟示主自己,"LORD, REVEAL THYSELF TO ME",H412
當我憑著自己思想,WHEN I AM IN THE NATURAL MAN,H413
意志薄弱,MY WILL IS WEAK,H414
嘴唇不潔，心思不潔,NULL,H415
當我蒙恩能夠施恩,NULL,H416
一生聰明未遇敵手,NULL,H417
求主倒空我脫自己,COME EMPTY ME OF SELF,H418
一直走十架窄路,ALL THE WAY TO CALVARY,H419
看哪﹗父賜何等的愛,BEHOLD! WHAT MANNER OF LOVE,H42
從死亡得生命,THROUGH DEATH TO LIFE,H420
主，祢啟示一個奧秘,"LORD, THOU HAST SHOWN THE MYSTERY",H421
主，祢知道所有乾渴,"LORD, THOU KNOWEST ALL THE HUNGER",H422
哦，各各他,NULL,H423
祢是平靜祕密之源,THOU HIDDEN SOURCE OF CALM REPOSE,H424
耶穌為我,JESUS FOR ME,H425
祂自己,HIMSELF,H426
惟有耶穌,JESUS ONLY,H427
基督就是我的世界,JESUS IS ALL THE WORLD TO ME,H428
祂不誤事﹐因祂是神,"HE FAILETH NOT, FOR HE IS GOD",H429
萬福之父﹐恩深無際,"BLEST FATHER, INFINITE IN GRACE",H43
再唱信心的歌,KEEP UP THE SONG OF FAITH,H430
惟知道我所信的是誰,I KNOW WHOM I HAVE BELIEVED,H431
在神沒有難成事,NOTHING IS IMPOSSIBLE,H432
站立在神話語的信實上面,STANDING ON THE FAITHFULNESS OF GOD'S OWN WORD,H433
信靠耶穌何其甘甜,'TIS SO SWEET TO TRUST IN JESUS,H434
不斷信靠主,KEEP ON BELIEVING,H435
或這樣，或那樣,IN SOME WAY OR OTHER,H436
主阿，即或盡是黑暗,NULL,H437
"要對這山說：""去！""","SAY TO THIS MOUNTAIN, ""GO!""",H438
主，我相信,"LORD, I BELIEVE",H439
父神啊﹐祢在羔羊裏,O GOD! WE SEE THEE IN THE LAMB,H44
最後一握,THE LAST HANDFUL,H440
只要相信,ONLY BELIEVE,H441
祂看顧麻雀,HIS EYE IS ON THE SPARROW,H442
前途如何我不知,I KNOW NOT WHAT AWAITS ME,H443
我與神聖的愛立約,NULL,H444
神說話，我就相信祂,"GOD SAID IT, AND I BELIEVE IT",H445
神的應許不能廢去,Trust,H446
我無能力，我的主,NULL,H447
神必定顧念你,GOD WILL TAKE CARE OF YOU,H448
緊握我手,HOLD THOU MY HAND,H449
請聽佳音﹕救主降生,HARK! THE GLAD SOUND,H45
以利沙代,EL SHADDAI,H450
無祢，我就無法想,I COULD NOT DO WITHOUT THEE,H451
祢信實何廣大﹗,GREAT IS THY FAITHFULNESS,H452
看哪，神是我的拯救,"BEHOLD, GOD IS MY SALVATION",H453
我知主掌握明天,I KNOW WHO HOLDS TOMORROW,H454
倚靠耶和華真有福,BLESSED IS HE THAT IS TRUSTING THE LORD,H455
永不灰心,NEVER GIVE UP,H456
我是一個異鄉旅客,I'M A PILGRIM AND A STRANGER,H457
唯靠耶穌,TRUSTING JESUS,H458
安穩在祂大能膀臂,HELD IN HIS MIGHTY ARMS,H459
